chunk_size,omp_chunk_size,omp_num_threads,omp_scheduling_type,permutation,unroll_factor,compute_time,timestamp
512,256,32,0,"(0, 1, 2, 3, 4)",256,288.4233703613281,1697572752977
8,4,4,0,"(0, 4, 1, 3, 2)",2,145.6813507080078,1697572752977
512,16,4,0,"(1, 0, 3, 4, 2)",32,627.718994140625,1697572752977
256,16,1,1,"(0, 1, 3, 4, 2)",4,606.63623046875,1697572752977
512,1,4,0,"(1, 0, 2, 3, 4)",2,377.4574890136719,1697572752977
256,4,16,0,"(0, 4, 1, 3, 2)",128,818.1278686523438,1697572752977
64,4,2,0,"(1, 0, 3, 4, 2)",2,522.6031494140625,1697572752977
4,128,4,1,"(0, 1, 2, 3, 4)",2,75.76176452636719,1697572761035
4,256,32,0,"(0, 1, 2, 3, 4)",2,178.8449249267578,1697572769262
4,64,1,1,"(0, 1, 2, 3, 4)",2,206.97230529785156,1697572777807
4,1,32,1,"(4, 1, 0, 3, 2)",2,230.0572967529297,1697572785847
4,1,8,1,"(0, 1, 2, 3, 4)",2,70.58513641357422,1697572792411
4,256,8,1,"(1, 0, 2, 3, 4)",2,151.52064514160156,1697572800929
4,1,4,0,"(0, 1, 2, 3, 4)",2,124.26652526855469,1697572809573
4,256,8,1,"(0, 1, 3, 4, 2)",2,173.37979125976562,1697572817964
4,1,1,0,"(1, 0, 2, 3, 4)",2,349.5689392089844,1697572828973
4,256,8,1,"(0, 1, 2, 3, 4)",2,88.12671661376953,1697572836668
4,1,8,1,"(0, 1, 2, 3, 4)",2,71.7691879272461,1697572843791
4,1,4,1,"(4, 0, 1, 3, 2)",2,118.48601531982422,1697572851263
4,1,4,1,"(0, 1, 2, 3, 4)",2,87.1941146850586,1697572858690
4,8,8,1,"(0, 1, 2, 3, 4)",2,72.3312759399414,1697572866389
512,1,32,1,"(0, 1, 2, 3, 4)",2,125.81399536132812,1697572873949
4,1,16,1,"(0, 1, 2, 3, 4)",2,83.79202270507812,1697572881544
8,2,8,1,"(0, 1, 2, 3, 4)",4,98.47834014892578,1697572889867
512,128,1,1,"(1, 0, 2, 3, 4)",256,4506.61865234375,1697572945017
64,1,32,1,"(1, 0, 2, 3, 4)",32,689.2133178710938,1697572960261
4,1,8,1,"(0, 4, 1, 3, 2)",2,106.39451599121094,1697572968550
4,2,8,1,"(0, 1, 2, 3, 4)",2,105.11439514160156,1697572976521
4,1,8,1,"(0, 1, 2, 3, 4)",2,111.79145050048828,1697572984793
512,256,16,1,"(0, 4, 1, 3, 2)",2,272.2818908691406,1697572995660
4,1,32,1,"(0, 1, 2, 3, 4)",2,112.31847381591797,1697573004661
8,256,4,1,"(0, 1, 2, 3, 4)",4,154.6901397705078,1697573013280
4,1,8,1,"(0, 1, 2, 3, 4)",2,108.9063949584961,1697573021728
16,1,32,0,"(0, 4, 1, 3, 2)",8,294.2965087890625,1697573032240
4,256,16,1,"(0, 1, 2, 3, 4)",2,192.79054260253906,1697573042295
8,1,16,0,"(0, 1, 2, 3, 4)",2,335.4210205078125,1697573053506
512,1,32,0,"(0, 1, 3, 2, 4)",2,307.1287536621094,1697573063628
8,256,4,0,"(0, 1, 2, 3, 4)",2,220.5898895263672,1697573072827
4,1,4,1,"(0, 1, 2, 3, 4)",2,113.060302734375,1697573080953
4,1,4,1,"(0, 1, 2, 3, 4)",2,118.54533386230469,1697573089186
4,1,4,1,"(0, 4, 1, 3, 2)",2,120.7911148071289,1697573097585
4,256,1,0,"(4, 0, 1, 3, 2)",2,378.20758056640625,1697573108978
4,1,8,1,"(0, 1, 3, 2, 4)",2,193.3250732421875,1697573118174
512,128,32,1,"(0, 1, 3, 4, 2)",256,3536.548583984375,1697573162852
4,1,32,1,"(0, 1, 2, 3, 4)",2,130.40045166015625,1697573171981
512,1,8,1,"(0, 1, 2, 3, 4)",2,128.69566345214844,1697573182148
4,1,4,1,"(1, 0, 2, 3, 4)",2,205.21096801757812,1697573193481
4,1,32,1,"(0, 4, 1, 3, 2)",2,120.23870849609375,1697573204800
4,16,8,1,"(0, 1, 2, 3, 4)",2,114.63223266601562,1697573215431
4,256,32,1,"(0, 1, 2, 3, 4)",2,214.34097290039062,1697573227575
4,128,4,1,"(0, 4, 1, 3, 2)",2,129.83993530273438,1697573239456
8,256,32,0,"(4, 0, 1, 3, 2)",2,450.9387512207031,1697573253040
4,1,8,1,"(0, 1, 4, 3, 2)",2,117.08330535888672,1697573264708
512,1,1,0,"(0, 1, 2, 3, 4)",256,4174.2666015625,1697573315969
64,256,32,0,"(0, 1, 2, 3, 4)",16,312.032470703125,1697573327124
4,2,8,1,"(0, 4, 1, 3, 2)",2,108.27303314208984,1697573336918
4,1,1,1,"(0, 4, 1, 3, 2)",2,288.3349609375,1697573348402
512,256,4,1,"(0, 1, 2, 3, 4)",2,318.8041687011719,1697573361468
512,1,32,1,"(0, 4, 1, 3, 2)",2,172.90606689453125,1697573373197
8,1,8,1,"(0, 4, 1, 3, 2)",4,132.45114135742188,1697573384892
